n1,n2,A1,A2
33,25,4.023,3.026
33,26,3.983,3.106
33,27,3.944,3.184
33,28,3.907,3.259
33,29,3.871,3.333
33,30,3.836,3.404
33,31,3.802,3.474
33,32,3.769,3.541
33,33,3.737,3.607
33,34,3.706,3.670
33,35,3.676,3.732
33,36,3.647,3.793
33,37,3.619,3.851
33,38,3.591,3.908
33,39,3.565,3.963
33,40,3.539,4.017
33,41,3.514,4.069
33,42,3.489,4.119
33,43,3.465,4.168
33,44,3.442,4.216
33,45,3.420,4.263
33,46,3.398,4.308
33,47,3.377,4.352
33,48,3.357,4.395
33,49,3.337,4.437
34,0,5.680,0.082
34,1,5.590,0.243
34,2,5.503,0.399
34,3,5.418,0.551
34,4,5.336,0.699
34,5,5.256,0.843
34,6,5.178,0.982
34,7,5.103,1.118
34,8,5.030,1.250
34,9,4.959,1.378
34,10,4.890,1.503
34,11,4.824,1.624
34,12,4.760,1.741
34,13,4.698,1.856
34,14,4.638,1.967
34,15,4.580,2.075
34,16,4.524,2.181
34,17,4.470,2.283
34,18,4.417,2.383
34,19,4.367,2.480
34,20,4.318,2.575
34,21,4.271,2.667
34,22,4.225,2.757
34,23,4.181,2.844
34,24,4.138,2.929
34,25,4.097,3.012
34,26,4.057,3.092
34,27,4.018,3.170
34,28,3.981,3.247
34,29,3.945,3.321
34,30,3.910,3.392
34,31,3.876,3.462
34,32,3.843,3.530
34,33,3.812,3.596
34,34,3.781,3.660
34,35,3.751,3.722
34,36,3.722,3.783
34,37,3.694,3.842
34,38,3.667,3.899
34,39,3.640,3.954
34,40,3.614,4.008
34,41,3.589,4.061
34,42,3.564,4.112
34,43,3.540,4.161
34,44,3.517,4.209
34,45,3.494,4.256
34,46,3.472,4.301
34,47,3.450,4.345
34,48,3.430,4.388
34,49,3.409,4.429
35,0,5.752,0.081
35,1,5.660,0.239
35,2,5.575,0.393
35,3,5.490,0.543
35,4,5.408,0.690
35,5,5.328,0.834
35,6,5.251,0.973
35,7,5.175,1.109
35,8,5.102,1.241
35,9,5.031,1.370
35,10,4.961,1.496
35,11,4.895,1.618
35,12,4.830,1.737
35,13,4.767,1.853
35,14,4.707,1.966
35,15,4.649,2.075
35,16,4.592,2.182
35,17,4.538,2.286
35,18,4.485,2.387
35,19,4.434,2.485
35,20,4.385,2.581
35,21,4.337,2.674
35,22,4.291,2.764
35,23,4.246,2.853
35,24,4.202,2.938
35,25,4.160,3.022
35,26,4.120,3.103
35,27,4.081,3.183
35,28,4.043,3.260
35,29,4.006,3.335
35,30,3.971,3.408
35,31,3.936,3.479
35,32,3.903,3.548
35,33,3.871,3.615
35,34,3.840,3.681
35,35,3.810,3.745
35,36,3.780,3.807
35,37,3.752,3.867
35,38,3.725,3.925
35,39,3.699,3.982
35,40,3.673,4.037
35,41,3.648,4.091
35,42,3.624,4.143
35,43,3.600,4.194
35,44,3.577,4.243
35,45,3.554,4.291
35,46,3.532,4.338
35,47,3.511,4.383
35,48,3.491,4.427
35,49,3.471,4.469
36,0,5.822,0.080
36,1,5.729,0.236
36,2,5.645,0.388
36,3,5.561,0.536
36,4,5.478,0.681
36,5,5.399,0.822
36,6,5.321,0.960
36,7,5.246,1.094
36,8,5.173,1.225
36,9,5.101,1.353
36,10,5.032,1.478
36,11,4.966,1.599
36,12,4.901,1.718
36,13,4.838,1.833
36,14,4.778,1.946
36,15,4.719,2.055
36,16,4.663,2.162
36,17,4.608,2.266
36,18,4.555,2.367
36,19,4.504,2.465
36,20,4.454,2.561
36,21,4.406,2.655
36,22,4.360,2.746
36,23,4.315,2.834
36,24,4.271,2.921
36,25,4.229,3.005
36,26,4.189,3.087
36,27,4.149,3.166
36,28,4.111,3.244
36,29,4.074,3.319
36,30,4.038,3.392
36,31,4.003,3.463
36,32,3.969,3.532
36,33,3.936,3.599
36,34,3.904,3.665
36,35,3.873,3.728
36,36,3.843,3.790
36,37,3.813,3.850
36,38,3.785,3.909
36,39,3.757,3.966
36,40,3.730,4.021
36,41,3.704,4.075
36,42,3.678,4.127
36,43,3.653,4.178
36,44,3.629,4.227
36,45,3.605,4.275
36,46,3.582,4.322
36,47,3.559,4.367
36,48,3.537,4.411
36,49,3.516,4.453
37,0,5.889,0.079
37,1,5.797,0.232
37,2,5.713,0.381
37,3,5.629,0.527
37,4,5.547,0.669
37,5,5.469,0.807
37,6,5.389,0.942
37,7,5.314,1.073
37,8,5.241,1.202
37,9,5.169,1.327
37,10,5.100,1.449
37,11,5.034,1.568
37,12,4.969,1.684
37,13,4.907,1.797
37,14,4.846,1.908
37,15,4.787,2.016
37,16,4.730,2.121
37,17,4.675,2.224
37,18,4.621,2.324
37,19,4.570,2.422
37,20,4.520,2.517
37,21,4.471,2.610
37,22,4.424,2.701
37,23,4.379,2.789
37,24,4.335,2.875
37,25,4.293,2.959
37,26,4.252,3.041
37,27,4.213,3.120
37,28,4.174,3.197
37,29,4.137,3.272
37,30,4.101,3.346
37,31,4.066,3.417
37,32,4.032,3.486
37,33,3.999,3.554
37,34,3.967,3.620
37,35,3.936,3.684
37,36,3.906,3.746
37,37,3.877,3.807
37,38,3.848,3.866
37,39,3.820,3.924
37,40,3.793,3.980
37,41,3.767,4.034
37,42,3.741,4.087
37,43,3.716,4.139
37,44,3.692,4.189
37,45,3.668,4.238
37,46,3.645,4.285
37,47,3.622,4.331
37,48,3.600,4.376
37,49,3.579,4.419
38,0,5.954,0.077
38,1,5.861,0.229
38,2,5.779,0.375
38,3,5.694,0.519
38,4,5.613,0.659
38,5,5.533,0.795
38,6,5.456,0.928
38,7,5.381,1.058
38,8,5.307,1.185
38,9,5.236,1.309
38,10,5.166,1.430
38,11,5.099,1.548
38,12,5.033,1.664
38,13,4.970,1.777
38,14,4.908,1.887
38,15,4.848,1.995
38,16,4.791,2.100
38,17,4.735,2.203
38,18,4.681,2.304
38,19,4.629,2.402
38,20,4.579,2.498
38,21,4.530,2.592
38,22,4.483,2.684
38,23,4.437,2.773
38,24,4.393,2.861
38,25,4.350,2.946
38,26,4.309,3.029
38,27,4.269,3.110
38,28,4.230,3.189
38,29,4.192,3.266
38,30,4.156,3.341
38,31,4.121,3.415
38,32,4.087,3.486
38,33,4.053,3.556
38,34,4.021,3.623
38,35,3.990,3.689
38,36,3.960,3.753
38,37,3.931,3.816
38,38,3.902,3.877
38,39,3.874,3.936
38,40,3.847,3.994
38,41,3.821,4.050
38,42,3.795,4.105
38,43,3.770,4.158
38,44,3.746,4.210
38,45,3.722,4.260
38,46,3.699,4.309
38,47,3.676,4.357
38,48,3.654,4.403
38,49,3.633,4.448
39,0,6.018,0.076
39,1,5.924,0.225
39,2,5.842,0.369
39,3,5.758,0.510
39,4,5.677,0.647
39,5,5.597,0.781
39,6,5.520,0.911
39,7,5.445,1.038
39,8,5.372,1.163
39,9,5.301,1.284
39,10,5.231,1.402
39,11,5.165,1.517
39,12,5.100,1.630
39,13,5.037,1.740
39,14,4.975,1.847
39,15,4.916,1.952
39,16,4.859,2.054
39,17,4.803,2.154
39,18,4.749,2.251
39,19,4.697,2.346
39,20,4.647,2.439
39,21,4.598,2.529
39,22,4.551,2.617
39,23,4.505,2.703
39,24,4.461,2.787
39,25,4.418,2.868
39,26,4.377,2.948
39,27,4.337,3.025
39,28,4.298,3.100
39,29,4.261,3.174
39,30,4.225,3.245
39,31,4.190,3.314
39,32,4.156,3.381
39,33,4.123,3.447
39,34,4.091,3.510
39,35,4.060,3.572
39,36,4.030,3.632
39,37,4.001,3.690
39,38,3.972,3.747
39,39,3.945,3.802
39,40,3.918,3.855
39,41,3.892,3.907
39,42,3.867,3.957
39,43,3.843,4.006
39,44,3.819,4.054
39,45,3.796,4.100
39,46,3.774,4.145
39,47,3.752,4.188
39,48,3.731,4.230
39,49,3.711,4.271
40,0,6.079,0.075
40,1,5.985,0.222
40,2,5.904,0.364
40,3,5.821,0.503
40,4,5.739,0.638
40,5,5.660,0.769
40,6,5.583,0.896
40,7,5.508,1.020
40,8,5.435,1.141
40,9,5.364,1.258
40,10,5.295,1.373
40,11,5.229,1.484
40,12,5.164,1.593
40,13,5.101,1.699
40,14,5.040,1.802
40,15,4.981,1.902
40,16,4.924,2.000
40,17,4.869,2.094
40,18,4.816,2.187
40,19,4.764,2.276
40,20,4.715,2.363
40,21,4.667,2.448
40,22,4.620,2.530
40,23,4.575,2.610
40,24,4.531,2.687
40,25,4.488,2.762
40,26,4.447,2.835
40,27,4.407,2.906
40,28,4.369,2.975
40,29,4.331,3.041
40,30,4.295,3.106
40,31,4.260,3.169
40,32,4.226,3.229
40,33,4.193,3.288
40,34,4.161,3.345
40,35,4.131,3.400
40,36,4.101,3.454
40,37,4.073,3.506
40,38,4.045,3.556
40,39,4.018,3.605
40,40,3.992,3.652
40,41,3.967,3.698
40,42,3.942,3.742
40,43,3.918,3.785
40,44,3.895,3.826
40,45,3.872,3.866
40,46,3.850,3.904
40,47,3.829,3.941
40,48,3.808,3.977
40,49,3.788,4.011
41,0,6.138,0.074
41,1,6.050,0.219
41,2,5.964,0.360
41,3,5.881,0.498
41,4,5.800,0.632
41,5,5.721,0.763
41,6,5.644,0.890
41,7,5.569,1.014
41,8,5.496,1.135
41,9,5.425,1.253
41,10,5.356,1.369
41,11,5.290,1.481
41,12,5.225,1.590
41,13,5.162,1.697
41,14,5.101,1.800
41,15,5.042,1.901
41,16,4.985,1.999
41,17,4.930,2.094
41,18,4.876,2.187
41,19,4.824,2.277
41,20,4.774,2.365
41,21,4.726,2.450
41,22,4.679,2.533
41,23,4.634,2.614
41,24,4.590,2.693
41,25,4.547,2.769
41,26,4.506,2.843
41,27,4.466,2.915
41,28,4.427,2.985
41,29,4.390,3.053
41,30,4.353,3.119
41,31,4.318,3.183
41,32,4.283,3.245
41,33,4.250,3.305
41,34,4.217,3.364
41,35,4.186,3.421
41,36,4.155,3.476
41,37,4.125,3.529
41,38,4.096,3.581
41,39,4.068,3.631
41,40,4.041,3.680
41,41,4.014,3.727
41,42,3.988,3.773
41,43,3.962,3.817
41,44,3.938,3.860
41,45,3.913,3.901
41,46,3.890,3.941
41,47,3.867,3.980
41,48,3.845,4.017
41,49,3.823,4.053
42,0,6.196,0.073
42,1,6.108,0.216
42,2,6.023,0.356
42,3,5.939,0.493
42,4,5.859,0.627
42,5,5.780,0.757
42,6,5.703,0.884
42,7,5.628,1.008
42,8,5.556,1.129
42,9,5.485,1.247
42,10,5.417,1.362
42,11,5.351,1.474
42,12,5.286,1.584
42,13,5.223,1.690
42,14,5.163,1.794
42,15,5.104,1.895
42,16,5.047,1.993
42,17,4.992,2.089
42,18,4.938,2.183
42,19,4.886,2.274
42,20,4.836,2.363
42,21,4.787,2.449
42,22,4.740,2.533
42,23,4.695,2.615
42,24,4.650,2.695
42,25,4.607,2.773
42,26,4.565,2.849
42,27,4.525,2.922
42,28,4.486,2.994
42,29,4.448,3.063
42,30,4.411,3.130
42,31,4.375,3.196
42,32,4.341,3.259
42,33,4.307,3.321
42,34,4.274,3.380
42,35,4.243,3.438
42,36,4.212,3.494
42,37,4.183,3.548
42,38,4.154,3.601
42,39,4.126,3.652
42,40,4.099,3.702
42,41,4.073,3.750
42,42,4.047,3.797
42,43,4.022,3.842
42,44,3.998,3.886
42,45,3.974,3.928
42,46,3.951,3.969
42,47,3.929,4.009
42,48,3.907,4.048
42,49,3.886,4.085
43,0,6.252,0.072
43,1,6.164,0.214
43,2,6.079,0.353
43,3,5.996,0.489
43,4,5.916,0.621
43,5,5.837,0.750
43,6,5.761,0.876
43,7,5.686,0.999
43,8,5.614,1.119
43,9,5.543,1.236
43,10,5.475,1.350
43,11,5.409,1.461
43,12,5.345,1.570
43,13,5.283,1.676
43,14,5.223,1.780
43,15,5.165,1.881
43,16,5.109,1.980
43,17,5.054,2.076
43,18,5.002,2.170
43,19,4.951,2.262
43,20,4.901,2.351
43,21,4.854,2.438
43,22,4.808,2.523
43,23,4.764,2.606
43,24,4.721,2.686
43,25,4.680,2.765
43,26,4.640,2.841
43,27,4.602,2.916
43,28,4.564,2.988
43,29,4.528,3.058
43,30,4.493,3.127
43,31,4.459,3.193
43,32,4.426,3.258
43,33,4.395,3.320
43,34,4.364,3.381
43,35,4.334,3.440
43,36,4.305,3.497
43,37,4.277,3.553
43,38,4.249,3.607
43,39,4.222,3.660
43,40,4.196,3.711
43,41,4.170,3.760
43,42,4.146,3.808
43,43,4.122,3.854
43,44,4.099,3.899
43,45,4.076,3.943
43,46,4.054,3.985
43,47,4.033,4.026
43,48,4.012,4.066
43,49,3.992,4.105
44,0,6.306,0.071
44,1,6.219,0.211
44,2,6.134,0.349
44,3,6.052,0.483
44,4,5.971,0.614
44,5,5.893,0.742
44,6,5.817,0.867
44,7,5.743,0.989
44,8,5.670,1.108
44,9,5.599,1.224
44,10,5.531,1.338
44,11,5.465,1.449
44,12,5.400,1.557
44,13,5.337,1.663
44,14,5.277,1.766
44,15,5.218,1.867
44,16,5.161,1.965
44,17,5.105,2.061
44,18,5.051,2.155
44,19,4.998,2.246
44,20,4.947,2.336
44,21,4.898,2.423
44,22,4.851,2.507
44,23,4.805,2.590
44,24,4.760,2.670
44,25,4.717,2.749
44,26,4.675,2.825
44,27,4.635,2.900
44,28,4.596,2.973
44,29,4.558,3.044
44,30,4.521,3.113
44,31,4.485,3.180
44,32,4.450,3.246
44,33,4.416,3.309
44,34,4.383,3.371
44,35,4.351,3.431
44,36,4.320,3.490
44,37,4.290,3.547
44,38,4.261,3.602
44,39,4.232,3.656
44,40,4.205,3.708
44,41,4.178,3.759
44,42,4.152,3.808
44,43,4.127,3.856
44,44,4.102,3.902
44,45,4.078,3.947
44,46,4.055,3.991
44,47,4.033,4.033
44,48,4.011,4.074
44,49,3.990,4.114
45,0,6.359,0.070
45,1,6.272,0.207
45,2,6.188,0.342
45,3,6.106,0.474
45,4,6.026,0.603
45,5,5.948,0.728
45,6,5.872,0.850
45,7,5.798,0.969
45,8,5.725,1.085
45,9,5.655,1.199
45,10,5.587,1.310
45,11,5.520,1.418
45,12,5.455,1.523
45,13,5.392,1.626
45,14,5.330,1.726
45,15,5.270,1.823
45,16,5.212,1.918
45,17,5.155,2.010
45,18,5.100,2.100
45,19,5.046,2.187
45,20,4.994,2.273
45,21,4.943,2.356
45,22,4.894,2.437
45,23,4.846,2.516
45,24,4.800,2.593
45,25,4.754,2.668
45,26,4.710,2.741
45,27,4.667,2.812
45,28,4.626,2.881
45,29,4.585,2.948
45,30,4.546,3.014
45,31,4.507,3.077
45,32,4.470,3.139
45,33,4.434,3.199
45,34,4.399,3.257
45,35,4.365,3.313
45,36,4.332,3.368
45,37,4.300,3.421
45,38,4.269,3.473
45,39,4.239,3.523
45,40,4.210,3.572
45,41,4.181,3.619
45,42,4.154,3.665
45,43,4.127,3.710
45,44,4.101,3.753
45,45,4.076,3.795
45,46,4.052,3.836
45,47,4.028,3.875
45,48,4.005,3.914
45,49,3.983,3.951
46,0,6.410,0.069
46,1,6.324,0.205
46,2,6.240,0.338
46,3,6.158,0.469
46,4,6.078,0.597
46,5,6.001,0.722
46,6,5.925,0.845
46,7,5.851,0.964
46,8,5.779,1.081
46,9,5.709,1.195
46,10,5.640,1.307
46,11,5.574,1.416
46,12,5.509,1.523
46,13,5.446,1.627
46,14,5.385,1.729
46,15,5.325,1.829
46,16,5.268,1.927
46,17,5.211,2.022
46,18,5.157,2.115
46,19,5.103,2.206
46,20,5.052,2.295
46,21,5.002,2.382
46,22,4.953,2.467
46,23,4.905,2.549
46,24,4.859,2.630
46,25,4.814,2.709
46,26,4.770,2.786
46,27,4.727,2.861
46,28,4.686,2.934
46,29,4.646,3.006
46,30,4.607,3.076
46,31,4.569,3.144
46,32,4.532,3.211
46,33,4.496,3.276
46,34,4.461,3.339
46,35,4.427,3.401
46,36,4.394,3.461
46,37,4.362,3.520
46,38,4.331,3.577
46,39,4.301,3.632
46,40,4.272,3.686
46,41,4.243,3.739
46,42,4.216,3.791
46,43,4.189,3.841
46,44,4.163,3.889
46,45,4.137,3.937
46,46,4.112,3.983
46,47,4.088,4.028
46,48,4.064,4.072
46,49,4.041,4.114
47,0,6.460,0.068
47,1,6.374,0.201
47,2,6.289,0.333
47,3,6.209,0.462
47,4,6.130,0.589
47,5,6.052,0.713
47,6,5.977,0.834
47,7,5.903,0.953
47,8,5.831,1.069
47,9,5.761,1.183
47,10,5.692,1.295
47,11,5.626,1.404
47,12,5.561,1.511
47,13,5.498,1.616
47,14,5.437,1.718
47,15,5.378,1.818
47,16,5.320,1.916
47,17,5.264,2.012
47,18,5.209,2.105
47,19,5.156,2.197
47,20,5.104,2.286
47,21,5.054,2.373
47,22,5.005,2.458
47,23,4.958,2.541
47,24,4.912,2.621
47,25,4.868,2.700
47,26,4.825,2.777
47,27,4.783,2.852
47,28,4.743,2.925
47,29,4.703,2.996
47,30,4.665,3.066
47,31,4.627,3.134
47,32,4.591,3.200
47,33,4.555,3.265
47,34,4.520,3.327
47,35,4.486,3.389
47,36,4.453,3.448
47,37,4.421,3.505
47,38,4.389,3.562
47,39,4.359,3.617
47,40,4.329,3.670
47,41,4.300,3.722
47,42,4.273,3.773
47,43,4.245,3.822
47,44,4.219,3.870
47,45,4.193,3.917
47,46,4.168,3.962
47,47,4.143,4.006
47,48,4.119,4.048
47,49,4.096,4.089
48,0,6.508,0.067
48,1,6.422,0.199
48,2,6.340,0.329
48,3,6.259,0.456
48,4,6.180,0.581
48,5,6.103,0.703
48,6,6.028,0.822
48,7,5.954,0.939
48,8,5.883,1.053
48,9,5.813,1.165
48,10,5.745,1.275
48,11,5.679,1.382
48,12,5.615,1.487
48,13,5.552,1.590
48,14,5.492,1.690
48,15,5.433,1.789
48,16,5.376,1.885
48,17,5.319,1.979
48,18,5.265,2.071
48,19,5.212,2.160
48,20,5.160,2.248
48,21,5.111,2.333
48,22,5.062,2.417
48,23,5.015,2.498
48,24,4.970,2.578
48,25,4.925,2.655
48,26,4.883,2.731
48,27,4.841,2.805
48,28,4.801,2.877
48,29,4.762,2.947
48,30,4.724,3.015
48,31,4.687,3.082
48,32,4.651,3.146
48,33,4.616,3.209
48,34,4.582,3.269
48,35,4.548,3.328
48,36,4.516,3.386
48,37,4.485,3.441
48,38,4.454,3.495
48,39,4.424,3.548
48,40,4.395,3.599
48,41,4.367,3.649
48,42,4.339,3.697
48,43,4.312,3.744
48,44,4.286,3.790
48,45,4.260,3.834
48,46,4.235,3.877
48,47,4.211,3.918
48,48,4.187,3.958
48,49,4.164,3.997
49,0,6.555,0.066
49,1,6.471,0.196
49,2,6.388,0.323
49,3,6.307,0.446
49,4,6.229,0.566
49,5,6.152,0.684
49,6,6.077,0.798
49,7,6.004,0.910
49,8,5.933,1.019
49,9,5.863,1.125
49,10,5.795,1.229
49,11,5.729,1.330
49,12,5.665,1.429
49,13,5.602,1.526
49,14,5.542,1.620
49,15,5.482,1.711
49,16,5.425,1.801
49,17,5.369,1.888
49,18,5.314,1.973
49,19,5.261,2.056
49,20,5.210,2.137
49,21,5.160,2.216
49,22,5.112,2.293
49,23,5.065,2.368
49,24,5.019,2.441
49,25,4.975,2.512
49,26,4.932,2.581
49,27,4.891,2.648
49,28,4.851,2.713
49,29,4.812,2.777
49,30,4.774,2.838
49,31,4.737,2.898
49,32,4.701,2.956
49,33,4.667,3.012
49,34,4.633,3.067
49,35,4.601,3.120
49,36,4.569,3.171
49,37,4.539,3.221
49,38,4.509,3.270
49,39,4.480,3.317
49,40,4.452,3.362
49,41,4.425,3.406
49,42,4.398,3.449
49,43,4.372,3.490
49,44,4.347,3.530
49,45,4.323,3.569
49,46,4.299,3.607
49,47,4.276,3.643
49,48,4.272,3.935
49,49,3.984,3.984